,EMA,average_return
0,The 2 ema,0.12036803225671644
1,The 3 ema,0.13388581480508788
2,The 4 ema,0.10816379133428833
3,The 5 ema,0.09325916122059885
4,The 6 ema,0.1031732271393273
5,The 7 ema,0.11679083007031266
6,The 8 ema,0.11254466958554521
7,The 9 ema,0.10786133432829348
8,The 10 ema,0.10644920264880953
9,The 11 ema,0.1055679869114603
10,The 12 ema,0.0947333308839895
11,The 13 ema,0.08153816557907323
12,The 14 ema,0.09411012391404272
13,The 15 ema,0.0929573111775639
14,The 16 ema,0.0836458532793265
15,The 17 ema,0.08540154803679467
16,The 18 ema,0.0831736824470728
17,The 19 ema,0.08700181075352087
18,The 20 ema,0.0862887314888654
19,The 21 ema,0.08431848510375994
20,The 22 ema,0.08410704146420289
21,The 23 ema,0.08544028261792502
22,The 24 ema,0.0827619535287869
23,The 25 ema,0.07681926141452067
24,The 26 ema,0.06980839462533561
25,The 27 ema,0.06984799618848414
26,The 28 ema,0.08133400347506892
27,The 29 ema,0.0832807988827029
28,The 30 ema,0.07396505014544896
29,The 31 ema,0.07438996674118492
30,The 32 ema,0.07635774277754948
31,The 33 ema,0.07735004734759965
32,The 34 ema,0.07793035837468754
33,The 35 ema,0.08064122986935152
34,The 36 ema,0.08220798947791108
35,The 37 ema,0.08519328324886932
36,The 38 ema,0.08377704592112734
37,The 39 ema,0.08243513540790381
38,The 40 ema,0.0845710073130983
39,The 41 ema,0.08765908231793018
40,The 42 ema,0.08765908231793018
41,The 43 ema,0.0876014585144893
42,The 44 ema,0.08739441232879863
43,The 45 ema,0.08254236117422642
44,The 46 ema,0.08137691257767599
45,The 47 ema,0.08117905838176731
46,The 48 ema,0.08342877643251145
47,The 49 ema,0.08301694611941035
48,The 50 ema,0.08598018534209295
49,The 51 ema,0.08596012993523416
50,The 52 ema,0.08511431069543685
51,The 53 ema,0.08373372703688231
52,The 54 ema,0.08392674020910551
53,The 55 ema,0.07592069808575319
54,The 56 ema,0.07548607348458569
55,The 57 ema,0.0762463253909531
56,The 58 ema,0.08177224804691607
57,The 59 ema,0.08015356927829864
58,The 60 ema,0.0800323596311936
59,The 61 ema,0.08085172951530484
60,The 62 ema,0.07751448833806673
61,The 63 ema,0.07689300219987838
62,The 64 ema,0.07689300219987838
63,The 65 ema,0.07788973112210851
64,The 66 ema,0.07816114123761708
65,The 67 ema,0.0815096042763499
66,The 68 ema,0.08175028711872834
67,The 69 ema,0.08247996124115686
68,The 70 ema,0.07820952526013802
69,The 71 ema,0.07950056258508686
70,The 72 ema,0.07981935779104687
71,The 73 ema,0.08302651073938949
72,The 74 ema,0.08366066591053944
73,The 75 ema,0.08176662559427306
74,The 76 ema,0.08352034684168519
75,The 77 ema,0.08565648653233127
76,The 78 ema,0.08643866995950944
77,The 79 ema,0.08643866995950944
78,The 80 ema,0.0854978628241343
79,The 81 ema,0.08571579357755832
80,The 82 ema,0.08725632174304598
81,The 83 ema,0.0879876671606803
82,The 84 ema,0.08673809185772074
83,The 85 ema,0.08772009056600538
84,The 86 ema,0.08781841049486361
85,The 87 ema,0.08737752205304283
86,The 88 ema,0.08670509272904603
87,The 89 ema,0.08674749093018419
88,The 90 ema,0.08624531355447407
89,The 91 ema,0.08477923063628623
90,The 92 ema,0.08617211485013021
91,The 93 ema,0.0870734768842234
92,The 94 ema,0.08830608762502035
93,The 95 ema,0.09072867700088505
94,The 96 ema,0.09072867700088505
95,The 97 ema,0.08972319828209963
96,The 98 ema,0.08975167247170379
97,The 99 ema,0.09156007870084104
98,The 100 ema,0.0918028590842479
99,The 101 ema,0.09573863952284012
100,The 102 ema,0.09571487247577815
101,The 103 ema,0.09941547107312987
102,The 104 ema,0.10086864193164735
103,The 105 ema,0.10079038315514177
104,The 106 ema,0.0989604988530397
105,The 107 ema,0.09886022938552164
106,The 108 ema,0.09886022938552164
107,The 109 ema,0.09910401114250256
108,The 110 ema,0.10007805601923181
109,The 111 ema,0.10085320406208176
110,The 112 ema,0.10132522258861298
111,The 113 ema,0.10132522258861298
112,The 114 ema,0.10014643055841321
113,The 115 ema,0.10014643055841321
114,The 116 ema,0.10014643055841321
115,The 117 ema,0.1000940609681531
116,The 118 ema,0.09838169856240975
117,The 119 ema,0.09838169856240975
118,The 120 ema,0.09838169856241019
119,The 121 ema,0.09648007693312333
120,The 122 ema,0.09763364808979946
121,The 123 ema,0.09763364808979946
122,The 124 ema,0.09707757662050298
123,The 125 ema,0.0970775766205032
124,The 126 ema,0.0970775766205032
125,The 127 ema,0.09678889315537598
126,The 128 ema,0.09578928617315641
127,The 129 ema,0.09633118377354943
128,The 130 ema,0.09633118377354943
129,The 131 ema,0.09633118377354943
130,The 132 ema,0.09633118377354988
131,The 133 ema,0.09633118377354988
132,The 134 ema,0.09580348017777762
133,The 135 ema,0.09580348017777762
134,The 136 ema,0.09645815685251957
135,The 137 ema,0.09645815685251957
136,The 138 ema,0.09644203169590071
137,The 139 ema,0.09644203169590071
138,The 140 ema,0.09644203169590071
139,The 141 ema,0.09685647662645369
140,The 142 ema,0.09627135109296603
141,The 143 ema,0.09627135109296603
142,The 144 ema,0.09714193031596752
143,The 145 ema,0.09791824357877643
144,The 146 ema,0.09791824357877643
145,The 147 ema,0.09999575706644959
146,The 148 ema,0.10020418527538233
147,The 149 ema,0.09938542315258414
148,The 150 ema,0.09938542315258458
149,The 151 ema,0.10007036459744811
150,The 152 ema,0.10007036459744767
151,The 153 ema,0.10029091119592914
152,The 154 ema,0.1005387486441578
153,The 155 ema,0.1005387486441578
154,The 156 ema,0.1005387486441578
155,The 157 ema,0.10019680889423555
156,The 158 ema,0.10019680889423555
157,The 159 ema,0.10019680889423532
158,The 160 ema,0.1007915011860836
159,The 161 ema,0.09988614495406045
160,The 162 ema,0.10059576374243684
161,The 163 ema,0.10204555077551647
162,The 164 ema,0.10035575128861951
163,The 165 ema,0.10287039423228572
164,The 166 ema,0.10320883466061703
165,The 167 ema,0.10320883466061703
166,The 168 ema,0.10320883466061703
167,The 169 ema,0.10422764258169681
168,The 170 ema,0.10422764258169681
169,The 171 ema,0.10422764258169681
170,The 172 ema,0.10422764258169681
171,The 173 ema,0.10376403695242553
172,The 174 ema,0.10203498403582256
173,The 175 ema,0.10203498403582256
174,The 176 ema,0.10203498403582256
175,The 177 ema,0.10226335630926964
176,The 178 ema,0.10226335630926897
177,The 179 ema,0.09900136833344164
178,The 180 ema,0.09907050651294025
179,The 181 ema,0.0993526244161782
180,The 182 ema,0.0996451508655174
181,The 183 ema,0.0996451508655174
182,The 184 ema,0.0995801947316679
183,The 185 ema,0.0995400462691085
184,The 186 ema,0.10050876205185255
185,The 187 ema,0.10050876205185255
186,The 188 ema,0.09981942439624536
187,The 189 ema,0.10007922352098686
188,The 190 ema,0.1000792235209873
189,The 191 ema,0.09914556981478984
190,The 192 ema,0.10010691969429764
191,The 193 ema,0.10195961543098409
192,The 194 ema,0.10195961543098409
193,The 195 ema,0.10195961543098409
194,The 196 ema,0.10286705368554516
195,The 197 ema,0.10286705368554516
196,The 198 ema,0.10286705368554516
197,The 199 ema,0.10560507500966843
198,The 200 ema,0.10679616744165532
199,The 201 ema,0.10686038656284191
200,The 202 ema,0.10785254411954259
201,The 203 ema,0.10785247787523344
202,The 204 ema,0.1080969824789948
203,The 205 ema,0.1078630476229605
204,The 206 ema,0.1080510802430028
205,The 207 ema,0.1080510802430028
206,The 208 ema,0.10789111037708965
207,The 209 ema,0.10273345605627804
208,The 210 ema,0.10308527937131573
209,The 211 ema,0.10471672987794634
210,The 212 ema,0.10631363337693611
211,The 213 ema,0.10727283146890199
212,The 214 ema,0.10808684600258234
213,The 215 ema,0.10826804148239066
214,The 216 ema,0.10718762105957769
215,The 217 ema,0.10852582183032888
216,The 218 ema,0.1091321868027797
217,The 219 ema,0.1091321868027797
218,The 220 ema,0.10774160322251669
219,The 221 ema,0.10751268154779803
220,The 222 ema,0.10766266383760925
221,The 223 ema,0.10766266383760925
222,The 224 ema,0.10766266383760925
223,The 225 ema,0.1057981941236521
224,The 226 ema,0.1057981941236521
225,The 227 ema,0.1057981941236521
226,The 228 ema,0.10694449858871269
227,The 229 ema,0.11077492173112669
228,The 230 ema,0.11077492173112669
229,The 231 ema,0.11077492173112669
230,The 232 ema,0.11078207867250134
231,The 233 ema,0.10775116423428033
232,The 234 ema,0.10806436979549594
233,The 235 ema,0.10806436979549594
234,The 236 ema,0.10443140416131147
235,The 237 ema,0.10419065006041306
236,The 238 ema,0.10411092286858148
237,The 239 ema,0.1040579297225197
238,The 240 ema,0.1040579297225197
239,The 241 ema,0.1040579297225197
240,The 242 ema,0.10414216456795211
241,The 243 ema,0.10211983028801286
242,The 244 ema,0.10235029251371497
243,The 245 ema,0.10270867172142539
244,The 246 ema,0.10437817714079389
245,The 247 ema,0.10437817714079389
246,The 248 ema,0.10437817714079367
247,The 249 ema,0.10430070843191541
248,The 250 ema,0.1033750224966985
249,The 251 ema,0.1033750224966985
250,The 252 ema,0.10241671890761972
251,The 253 ema,0.10241671890761972
252,The 254 ema,0.10150890126621848
253,The 255 ema,0.10150890126621848
254,The 256 ema,0.10066949233794809
255,The 257 ema,0.10339784362716875
256,The 258 ema,0.10384837577494377
257,The 259 ema,0.10384837577494377
258,The 260 ema,0.10385129987988595
259,The 261 ema,0.10385814412258565
260,The 262 ema,0.1039380553999949
261,The 263 ema,0.10814811885044429
262,The 264 ema,0.10975497082852503
263,The 265 ema,0.10948145825061029
264,The 266 ema,0.11131867524991712
265,The 267 ema,0.107034737536289
266,The 268 ema,0.10417557777254349
267,The 269 ema,0.10809837322466676
268,The 270 ema,0.10143189237388373
269,The 271 ema,0.09601718566628237
270,The 272 ema,0.09846422862455628
271,The 273 ema,0.09726535578016726
272,The 274 ema,0.0959717766167627
273,The 275 ema,0.09842004270505655
274,The 276 ema,0.10014342390983333
275,The 277 ema,0.09829071239853837
276,The 278 ema,0.09851407865910655
277,The 279 ema,0.09622270338618222
278,The 280 ema,0.0962234301731415
279,The 281 ema,0.09392247258752717
280,The 282 ema,0.09177540925484085
281,The 283 ema,0.09146113784834986
282,The 284 ema,0.0901553934682
283,The 285 ema,0.09058177333003381
284,The 286 ema,0.09037055027832519
285,The 287 ema,0.09116386904285867
286,The 288 ema,0.09389385604355183
287,The 289 ema,0.09563991917697878
288,The 290 ema,0.09873760270233012
289,The 291 ema,0.09873760270233012
290,The 292 ema,0.09857965631125132
291,The 293 ema,0.09857965631125132
292,The 294 ema,0.09857965631125132
293,The 295 ema,0.10023247938496493
294,The 296 ema,0.09998471090749428
295,The 297 ema,0.09998471090749428
296,The 298 ema,0.09998471090749428
297,The 299 ema,0.09998471090749428
298,The 300 ema,0.09998471090749428
