,SMA,average_return
0,The 2 sma,0.12378043465722843
1,The 3 sma,0.13046141256683108
2,The 4 sma,0.11397129926696836
3,The 5 sma,0.09795867892284393
4,The 6 sma,0.10335855353240242
5,The 7 sma,0.10420846592860356
6,The 8 sma,0.09657277756643778
7,The 9 sma,0.0901414023930649
8,The 10 sma,0.08527360604682777
9,The 11 sma,0.08785034627255728
10,The 12 sma,0.08611244391851058
11,The 13 sma,0.08062115712467954
12,The 14 sma,0.07388586105877981
13,The 15 sma,0.09449557354523397
14,The 16 sma,0.0853428069509583
15,The 17 sma,0.08906701648464255
16,The 18 sma,0.0866166544970648
17,The 19 sma,0.07959154234037658
18,The 20 sma,0.08620146877829482
19,The 21 sma,0.07855074190586131
20,The 22 sma,0.08979390562347
21,The 23 sma,0.08360167311214961
22,The 24 sma,0.07922192691882013
23,The 25 sma,0.08498448831250638
24,The 26 sma,0.08976138166713832
25,The 27 sma,0.0813351608549151
26,The 28 sma,0.08044138774954468
27,The 29 sma,0.08467754870800359
28,The 30 sma,0.08291662308489167
29,The 31 sma,0.08423691993644278
30,The 32 sma,0.08160657555678008
31,The 33 sma,0.08191639752641255
32,The 34 sma,0.08261668629205676
33,The 35 sma,0.08471084232712522
34,The 36 sma,0.08362800219908162
35,The 37 sma,0.08297577168667236
36,The 38 sma,0.07964012730411207
37,The 39 sma,0.08443140125665183
38,The 40 sma,0.07948079513108142
39,The 41 sma,0.08492491773474042
40,The 42 sma,0.08182347179742289
41,The 43 sma,0.08444742675462846
42,The 44 sma,0.08933934942567445
43,The 45 sma,0.08659226815954102
44,The 46 sma,0.08572428559877943
45,The 47 sma,0.08218087122940032
46,The 48 sma,0.08027441863831686
47,The 49 sma,0.0815568966088489
48,The 50 sma,0.08231666309056695
49,The 51 sma,0.07775908066213177
50,The 52 sma,0.07680761497687993
51,The 53 sma,0.07543345930758738
52,The 54 sma,0.07922589653464818
53,The 55 sma,0.07655829417576854
54,The 56 sma,0.07542203732225339
55,The 57 sma,0.07831629201580892
56,The 58 sma,0.07937782303563745
57,The 59 sma,0.0775132715507394
58,The 60 sma,0.0767660808477908
59,The 61 sma,0.07900315682780823
60,The 62 sma,0.07431318711456258
61,The 63 sma,0.07291737198798143
62,The 64 sma,0.07586182216123016
63,The 65 sma,0.075966662042384
64,The 66 sma,0.07250481823159105
65,The 67 sma,0.07980781245040736
66,The 68 sma,0.07824526253020925
67,The 69 sma,0.07871819708132644
68,The 70 sma,0.08292868968575062
69,The 71 sma,0.0811825326660578
70,The 72 sma,0.08144653957882841
71,The 73 sma,0.080002198627116
72,The 74 sma,0.07949494613875285
73,The 75 sma,0.07799746982110611
74,The 76 sma,0.0746626908707475
75,The 77 sma,0.07457922311135068
